feature,importance
num__release_pos_z,0.14765309914519012
num__release_pos_x,0.1463644378518462
num__release_speed,0.11911918743652926
num__pfx_x,0.11623719863732107
num__pfx_z,0.11551937940349769
num__inning,0.08308808580304994
num__outs_when_up,0.04300059833064477
num__balls,0.03512483737182812
num__strikes,0.027844461309888015
num__on_1b_flag,0.022591133880602604
num__on_2b_flag,0.019251274112839546
cat__stand_L,0.01657781606663158
cat__stand_R,0.014991311104941505
num__on_3b_flag,0.012209251888898535
cat__pitch_type_SL,0.01115859570124219
cat__pitch_type_FF,0.010398516128628068
cat__pitch_type_SI,0.008661845807857109
cat__p_throws_R,0.007923544076034923
cat__pitch_type_FC,0.007701942452281673
cat__p_throws_L,0.007233631598968442
cat__pitch_type_CH,0.006983271079427292
cat__pitch_type_CU,0.005955727312168944
cat__pitch_type_FS,0.004834514608895074
cat__pitch_type_ST,0.004351876526760374
cat__pitch_type_KC,0.003862587747916033
cat__pitch_type_SV,0.0011027338703355613
cat__pitch_type_FA,0.0002591407457753433
cat__pitch_type_None,0.0
cat__pitch_type_CS,0.0
cat__pitch_type_SC,0.0
cat__pitch_type_KN,0.0
cat__pitch_type_FO,0.0
cat__pitch_type_EP,0.0
cat__pitch_type_PO,0.0
