feature,importance
num__hit_distance_sc,0.22583034906679722
num__launch_angle,0.1453098381294369
num__launch_speed,0.1262766964852534
num__release_pos_x,0.06596519661430186
num__release_speed,0.0640299480875201
num__pfx_z,0.06254679701215832
num__pfx_x,0.06122736725233342
num__release_pos_z,0.06114536826871513
num__inning,0.03793711849305128
num__balls,0.02187280075521811
num__strikes,0.019577279223874054
num__outs_when_up,0.01883813185798293
cat__stand_R,0.012318108300800365
num__on_2b_flag,0.010712426089144253
num__on_1b_flag,0.010600962281499432
cat__stand_L,0.010585093977485896
cat__pitch_type_FF,0.006335490797692377
cat__pitch_type_SL,0.0061103701396152555
cat__pitch_type_SI,0.004940635359622655
cat__p_throws_R,0.004847639498581199
cat__pitch_type_CH,0.004641261406835843
cat__p_throws_L,0.004552030428977727
cat__pitch_type_FC,0.003611831865365018
num__on_3b_flag,0.003370447240353128
cat__pitch_type_CU,0.0024525804605820406
cat__pitch_type_ST,0.0019322871504961366
cat__pitch_type_FS,0.0015835583568800287
cat__pitch_type_KC,0.0005562989355365031
cat__pitch_type_SV,0.00023347047610387532
cat__pitch_type_FA,5.8615987785420855e-05
cat__pitch_type_SC,0.0
cat__pitch_type_FO,0.0
cat__pitch_type_None,0.0
cat__pitch_type_EP,0.0
cat__pitch_type_CS,0.0
